"X","Y","gr1","gr2","gr3","gr4"
347075,8553875,5.08824072023536e-05,0.00273256518771122,1.44020258412681e-05,0.997202150379245
347125,8553875,0.000420416556127677,0.000957747667742995,1.45028914579077e-05,0.998607332884671
347175,8553875,5.0511918490093e-05,0.000617329560645246,3.15362757100873e-06,0.999329004893294
347225,8553875,0.000602487634340758,0.295442144293379,4.29698798104739e-05,0.703912398192469
347275,8553875,5.94495703355131e-05,0.00217889015065065,5.24903624870874e-06,0.997756411242765
347325,8553875,3.99905010166458e-05,0.00134476201751906,2.5815192916397e-06,0.998612665962173
347375,8553875,0.00053909366838545,0.0749906877985485,5.1035907647249e-05,0.924419182625419
347425,8553875,4.4746587447685e-05,0.0015154084988756,1.97921175780626e-05,0.998420052796099
347475,8553875,3.77253233373258e-05,0.000593717032016345,2.56600526108883e-06,0.999365991639385
347525,8553875,0.00255104144025358,0.360389255803446,0.0191454387813515,0.617914263974949
347575,8553875,0.000604549874227136,0.421280612913223,3.81700308913003e-05,0.578076667181659
347625,8553875,4.4798330707401e-05,0.0020756487920462,1.71248609091999e-06,0.997877840391155
347675,8553875,0.0109172144944299,0.113873028930755,0.01132979346329,0.863879963111527
347725,8553875,0.0125167171515589,0.139707381930785,0.0122101945348351,0.835565706382821
347775,8553875,0.0134377233752496,0.152977270198544,0.0134211523384638,0.820163854087742
347825,8553875,0.0139317693399983,0.164764223117849,0.0150315007665344,0.806272506775623
347875,8553875,0.0145885092462066,0.183119789013809,0.0164453563264807,0.785846345413502
347925,8553875,0.0279176321017316,0.456406610679345,0.000270770689897234,0.515404986529027
347975,8553875,0.00111014653356293,0.0302727429562202,2.14813658337957e-05,0.968595629144383
347025,8553925,2.85979161122901e-05,0.00058762116640407,2.92852687509285e-06,0.999380852390609
347075,8553925,2.7248215276455e-05,0.00139221350075048,1.66275432416612e-06,0.998578875529649
347125,8553925,0.000193775155099534,0.00520821637016949,1.23193382756142e-05,0.994585689136455
347175,8553925,4.23714360157453e-05,0.00128025640295726,1.14153592653223e-05,0.998665956801762
347225,8553925,3.95841915520298e-05,0.00106084801245931,3.67313152776782e-06,0.998895894664461
347275,8553925,0.000370303881317631,0.039992919977076,1.81510011238561e-05,0.959618625140482
347325,8553925,0.000715511442619393,0.107792199999152,4.44182558194586e-05,0.891447870302409
347375,8553925,2.21837966518994e-05,0.00229775724731907,1.93327665674691e-06,0.997678125679372
347425,8553925,9.89898521983079e-05,0.000704978199513986,2.69810358714716e-06,0.999193333844701
347475,8553925,0.00150514757055001,0.186405395257653,0.000636835514200772,0.811452621657596
347525,8553925,0.000194272009919437,0.00418629459672627,8.04957892110979e-06,0.995611383814433
347575,8553925,0.00140803947820236,0.00549938343408725,2.1237296306557e-05,0.993071339791404
347625,8553925,4.25790550106861e-05,0.0068088620281094,4.0351435011682e-06,0.993144523773379
347675,8553925,6.42116141070618e-05,0.00204432742569379,1.62013660741892e-05,0.997875259594125
347725,8553925,5.4944467251293e-05,0.0262675888677061,7.87559837185215e-06,0.973669591066671
347775,8553925,0.000239869581619794,0.229621287717211,3.07365483498957e-05,0.770108106152819
347825,8553925,0.00234231104161904,0.333428911814514,0.00190909948183994,0.662319677662027
347875,8553925,0.00121033497804773,0.321896924772368,7.66733749135454e-05,0.676816066874671
347925,8553925,0.0011846197059688,0.287771060042428,8.01178034556719e-05,0.710964202448148
347975,8553925,0.00141726599402483,0.599926557117329,0.00294801829571516,0.395708158592931
347025,8553975,0.139893238815646,0.167734943065966,0.00119409598343579,0.691177722134953
347075,8553975,0.11536566851962,0.693258765586593,0.000140574261343499,0.191234991632444
347125,8553975,0.0204614985247177,0.110880631262813,0.00650833567465109,0.862149534537824
347175,8553975,0.016034442198709,0.0933455647399355,0.00692388038103841,0.883696112680319
347225,8553975,0.015124449362856,0.0940934539950891,0.0070852375133723,0.883696859128684
347275,8553975,0.013892518158914,0.0995408395783397,0.0072039803145864,0.879362661948167
347325,8553975,0.0119291304268199,0.11269380390443,0.00706497697793053,0.868312088690822
347375,8553975,0.000455286861580982,0.00350426262246027,1.38926433464136e-05,0.996026557872612
347425,8553975,0.0126526221527505,0.0489239033066238,0.000224142419112462,0.938199332121513
347475,8553975,0.00316918766589055,0.0307653230083636,0.000131714323838829,0.965933775001907
347525,8553975,0.00193968848145426,0.0632234062505916,5.76549705309868e-05,0.934779250297423
347575,8553975,0.00011083682865479,0.00251220835818399,1.20706434901785e-05,0.997364884169671
347625,8553975,0.000268404859429164,0.0429653027303707,2.17334667686483e-05,0.956744558943431
347675,8553975,2.47583582016699e-05,0.000371177506777325,2.21236092016273e-06,0.999601851774101
347725,8553975,2.37900615061758e-05,0.000472674647572686,1.44625134456553e-06,0.999502089039577
347775,8553975,6.01007826842188e-05,0.00118206749977511,5.77279004125871e-06,0.998752058927499
347825,8553975,0.00219791924261068,0.197784786361452,0.000135167344605902,0.799882127051331
347875,8553975,0.000897800162935425,0.208626325034799,0.000118243113893022,0.790357631688372
347925,8553975,0.00400354996748319,0.0224703050133265,0.000202369624789904,0.9733237753944
347975,8553975,7.83488563216216e-05,0.00305654100253597,5.89016476887846e-06,0.996859219976374
347025,8554025,4.10623330779603e-05,0.00113614171741891,3.20105288673869e-06,0.998819594896616
