"X","Y","median","q99","nobs"
344725,8553175,15.1,21.7501,25000
344725,8553225,15.44,21.2701,25000
344725,8553275,14,20.34,25000
344725,8553325,15.31,23.48,25000
344725,8553375,15.43,20.3101,25000
344725,8553425,16.92,21.8,25000
344725,8553475,16.44,22.05,25000
344725,8553525,14.7,20.63,25000
344725,8553575,13.98,22.1401,25000
344725,8553625,15.46,20.28,25000
344725,8553675,14.36,19.43,25000
344725,8553725,16.07,21.01,25000
344725,8553775,14.85,21.37,25000
344725,8553825,15.52,23.68,25000
344725,8553875,14.55,21.31,25000
344775,8553025,14.73,21.4,25000
344775,8553075,14.3,20.8801,25000
344775,8553125,16.1,22.24,25000
344775,8553175,15.47,23.07,25000
344775,8553225,16.18,23.13,25000
344775,8553275,15.08,20.92,25000
344775,8553325,16.01,23.84,25000
344775,8553375,14.73,21.78,25000
344775,8553425,16.36,21.46,25000
344775,8553475,15.3,23.18,25000
344775,8553525,15.425,21.3301,25000
344775,8553575,14.93,21.1801,25000
344775,8553625,16.06,22.49,25000
344775,8553675,14.12,24.9501,25000
344775,8553725,14.91,24.12,25000
344775,8553775,14.75,25.6601,25000
344775,8553825,14.17,23.2201,25000
344775,8553875,14.33,21.14,25000
344825,8553025,14.06,22.34,25000
344825,8553075,15.3,23.1101,25000
344825,8553125,15.92,23.63,25000
344825,8553175,16.64,21.2801,25000
344825,8553225,15.62,19.8701,25000
344825,8553275,15.28,20.2101,25000
344825,8553325,16.72,22.5901,25000
344825,8553375,14.86,22.19,25000
344825,8553425,14.87,23.59,25000
344825,8553475,15.44,26.14,25000
344825,8553525,14.83,21.9501,25000
344825,8553575,14.97,20.81,25000
344825,8553625,14.27,19.67,25000
344825,8553675,14.34,18.92,25000
344825,8553725,14.55,21.83,25000
344825,8553775,14.83,21.2,25000
344825,8553825,13.21,23.1001,25000
344825,8553875,14.75,21.44,25000
344875,8553025,16.66,21.1,25000
344875,8553075,16.33,25.12,25000
344875,8553125,15.98,25.5801,25000
344875,8553175,15.38,19.76,25000
344875,8553225,15.17,19.76,25000
344875,8553275,15.66,22.35,25000
344875,8553325,15.72,20.48,25000
344875,8553375,15.06,23.18,25000
344875,8553425,13.48,24.3301,25000
344875,8553475,14.58,25.54,25000
344875,8553525,14.44,21.5201,25000
344875,8553575,14.26,21.1701,25000
344875,8553625,15.61,21.67,25000
344875,8553675,14.44,21.73,25000
344875,8553725,16.46,23.44,25000
344875,8553775,14.48,20.8901,25000
344875,8553825,15.36,20.98,25000
344875,8553875,15.08,21.75,25000
344925,8553025,15.99,21.4701,25000
344925,8553075,15.64,20.5701,25000
344925,8553125,17.36,27.9301,25000
344925,8553175,14,18.85,25000
344925,8553225,15.47,20.62,25000
344925,8553275,18.31,25.89,25000
344925,8553325,17.005,24.86,25000
344925,8553375,16.45,21.96,25000
344925,8553425,13.79,18.92,25000
344925,8553475,16.56,22.2,25000
344925,8553525,16.45,24.92,25000
344925,8553575,15.3,20.7601,25000
344925,8553625,14.16,20.23,25000
344925,8553675,15.9,21.3601,25000
344925,8553725,16.68,24.2401,25000
344925,8553775,15.21,21.37,25000
344925,8553825,14.9,24.36,25000
344925,8553875,15.79,25.5201999999999,25000
344925,8553925,17.1,27.07,13409
344975,8553025,15.44,20.39,25000
344975,8553075,13.98,20.7601,25000
344975,8553125,15.68,21.52,25000
344975,8553175,14.7,20.07,25000
344975,8553225,12.99,18.1,25000
344975,8553275,16.04,23.7,25000
344975,8553325,16.47,27.86,25000
