"X","Y","fire.treat","edge"
348325,8554075,"1x","edge"
348375,8554075,"1x","edge"
348425,8554075,"1x","edge"
348475,8554075,"1x","edge"
348525,8554075,"1x","edge"
348575,8554075,"1x","edge"
348625,8554075,"1x","edge"
348675,8554075,"1x","edge"
348725,8554075,"1x","edge"
348775,8554075,"1x","edge"
348325,8554125,"1x","edge"
348375,8554125,"1x","edge"
348425,8554125,"1x","edge"
348475,8554125,"1x","edge"
348525,8554125,"1x","edge"
348575,8554125,"1x","edge"
348625,8554125,"1x","edge"
348675,8554125,"1x","edge"
348725,8554125,"1x","edge"
348775,8554125,"1x","edge"
348325,8554175,"1x","edge"
348375,8554175,"1x","edge"
348425,8554175,"1x","edge"
348475,8554175,"1x","edge"
348525,8554175,"1x","edge"
348575,8554175,"1x","edge"
348625,8554175,"1x","edge"
348675,8554175,"1x","edge"
348725,8554175,"1x","edge"
348775,8554175,"1x","edge"
