"X","Y","fire.treat","Parcela","dist.borda"
348575,8553875,"1x","D",300
348625,8553875,"1x","D",300
348675,8553875,"1x","D",300
348725,8553875,"1x","D",300
348775,8553875,"1x","D",300
348325,8553925,"1x","D",250
348375,8553925,"1x","D",250
348425,8553925,"1x","D",250
348475,8553925,"1x","D",250
348525,8553925,"1x","D",250
348575,8553925,"1x","D",250
348625,8553925,"1x","D",250
348675,8553925,"1x","D",250
348725,8553925,"1x","D",250
348775,8553925,"1x","D",250
348325,8553975,"1x","D",200
348375,8553975,"1x","D",200
348425,8553975,"1x","D",200
348475,8553975,"1x","D",200
348525,8553975,"1x","D",200
348575,8553975,"1x","D",200
348625,8553975,"1x","D",200
348675,8553975,"1x","D",200
348725,8553975,"1x","D",200
348775,8553975,"1x","D",200
348325,8554025,"1x","D",150
348375,8554025,"1x","D",150
348425,8554025,"1x","D",150
348475,8554025,"1x","D",150
348525,8554025,"1x","D",150
348575,8554025,"1x","D",150
348625,8554025,"1x","D",150
348675,8554025,"1x","D",150
348725,8554025,"1x","D",150
348775,8554025,"1x","D",150
348325,8554075,"1x","D",100
348375,8554075,"1x","D",100
348425,8554075,"1x","D",100
348475,8554075,"1x","D",100
348525,8554075,"1x","D",100
348575,8554075,"1x","D",100
348625,8554075,"1x","D",100
348675,8554075,"1x","D",100
348725,8554075,"1x","D",100
348775,8554075,"1x","D",100
348325,8554125,"1x","D",50
348375,8554125,"1x","D",50
348425,8554125,"1x","D",50
348475,8554125,"1x","D",50
348525,8554125,"1x","D",50
348575,8554125,"1x","D",50
348625,8554125,"1x","D",50
348675,8554125,"1x","D",50
348725,8554125,"1x","D",50
348775,8554125,"1x","D",50
348325,8554175,"1x","D",0
348375,8554175,"1x","D",0
348425,8554175,"1x","D",0
348475,8554175,"1x","D",0
348525,8554175,"1x","D",0
348575,8554175,"1x","D",0
348625,8554175,"1x","D",0
348675,8554175,"1x","D",0
348725,8554175,"1x","D",0
348775,8554175,"1x","D",0
